"Year","ratio","sst","F_CODE","sst_lag1","sst_lag2"
2015,1.125,1.18160551848511,"27.3.a",2.08489008123676,0.570334647161265
2016,1.11111111111111,1.63185395176212,"27.3.a",1.18160551848511,2.08489008123676
2017,1.10714285714286,1.28712935497363,"27.3.a",1.63185395176212,1.18160551848511
2018,1.10344827586207,1.53857726355394,"27.3.a",1.28712935497363,1.63185395176212
1996,0.833333333333333,NA,"27.3.b, c",NA,NA
1997,0.583333333333333,NA,"27.3.b, c",NA,NA
1998,0.416666666666667,NA,"27.3.b, c",NA,NA
1999,0.75,NA,"27.3.b, c",NA,NA
2000,0.578947368421053,NA,"27.3.b, c",NA,NA
2001,0.857142857142857,NA,"27.3.b, c",NA,NA
2002,1.05555555555556,NA,"27.3.b, c",NA,NA
2003,1.05882352941176,NA,"27.3.b, c",NA,NA
2004,0.952380952380952,NA,"27.3.b, c",NA,NA
2005,1,NA,"27.3.b, c",NA,NA
2006,1.10526315789474,NA,"27.3.b, c",NA,NA
2007,1,NA,"27.3.b, c",NA,NA
2008,0.857142857142857,NA,"27.3.b, c",NA,NA
2009,0.947368421052632,NA,"27.3.b, c",NA,NA
2010,1.14285714285714,NA,"27.3.b, c",NA,NA
2011,0.956521739130435,NA,"27.3.b, c",NA,NA
2012,0.782608695652174,NA,"27.3.b, c",NA,NA
2013,0.826086956521739,NA,"27.3.b, c",NA,NA
2014,1.0952380952381,NA,"27.3.b, c",NA,NA
2015,1.05555555555556,NA,"27.3.b, c",NA,NA
2016,1.0952380952381,NA,"27.3.b, c",NA,NA
2017,0.863636363636364,NA,"27.3.b, c",NA,NA
2018,0.952380952380952,NA,"27.3.b, c",NA,NA
1996,0.266666666666667,-0.0184617474054297,"27.3.d",NA,NA
1997,0.5,0.836198506255944,"27.3.d",-0.0184617474054297,NA
1998,0.4,0.192524180747569,"27.3.d",0.836198506255944,-0.0184617474054297
1999,0.866666666666667,1.00295169651508,"27.3.d",0.192524180747569,0.836198506255944
2000,0.705882352941177,0.873191009586056,"27.3.d",1.00295169651508,0.192524180747569
2001,0.647058823529412,1.05242814775556,"27.3.d",0.873191009586056,1.00295169651508
2002,0.733333333333333,1.46039978911479,"27.3.d",1.05242814775556,0.873191009586056
2003,0.6875,0.677036884240806,"27.3.d",1.46039978911479,1.05242814775556
2004,0.642857142857143,0.65566978448381,"27.3.d",0.677036884240806,1.46039978911479
2005,0.5625,1.02685231591264,"27.3.d",0.65566978448381,0.677036884240806
2006,0.933333333333333,1.13970824889839,"27.3.d",1.02685231591264,0.65566978448381
2007,0.75,1.30951463493208,"27.3.d",1.13970824889839,1.02685231591264
2008,0.8125,1.67620316847707,"27.3.d",1.30951463493208,1.13970824889839
2009,0.875,0.85389923894157,"27.3.d",1.67620316847707,1.30951463493208
2010,0.8,0.382754249187807,"27.3.d",0.85389923894157,1.67620316847707
2011,0.611111111111111,0.604402411729097,"27.3.d",0.382754249187807,0.85389923894157
2012,0.631578947368421,0.737792696803808,"27.3.d",0.604402411729097,0.382754249187807
2013,0.6,0.997208611418803,"27.3.d",0.737792696803808,0.604402411729097
2014,0.863636363636364,1.60610346371929,"27.3.d",0.997208611418803,0.737792696803808
2015,1.05263157894737,1.5522253504023,"27.3.d",1.60610346371929,0.997208611418803
2016,0.95,1.5287460969761,"27.3.d",1.5522253504023,1.60610346371929
2017,1.05555555555556,0.848730364532182,"27.3.d",1.5287460969761,1.5522253504023
2018,0.944444444444444,1.57278480287641,"27.3.d",0.848730364532182,1.5287460969761
1969,0.363636363636364,0.125378645646075,"27.4.a",NA,NA
1970,0.666666666666667,-0.165662584702174,"27.4.a",0.125378645646075,NA
1971,0.6,0.13111455210795,"27.4.a",-0.165662584702174,0.125378645646075
1972,1.07142857142857,0.29940788683792,"27.4.a",0.13111455210795,-0.165662584702174
1973,1.0625,0.117238921330621,"27.4.a",0.29940788683792,0.13111455210795
1974,0.772727272727273,0.383099286941191,"27.4.a",0.117238921330621,0.29940788683792
1975,0.526315789473684,0.244690893466274,"27.4.a",0.383099286941191,0.117238921330621
1976,0.777777777777778,0.242064410851647,"27.4.a",0.244690893466274,0.383099286941191
1977,0.80952380952381,-0.173063373068968,"27.4.a",0.242064410851647,0.244690893466274
1978,1,-0.277305208394925,"27.4.a",-0.173063373068968,0.242064410851647
1979,0.818181818181818,-0.720702729653567,"27.4.a",-0.277305208394925,-0.173063373068968
1980,0.695652173913043,0.0201734192979833,"27.4.a",-0.720702729653567,-0.277305208394925
1981,0.65,-0.214439185739805,"27.4.a",0.0201734192979833,-0.720702729653567
1982,0.826086956521739,-0.0424689179907242,"27.4.a",-0.214439185739805,0.0201734192979833
1983,0.703703703703704,-0.156937503038595,"27.4.a",-0.0424689179907242,-0.214439185739805
1984,0.846153846153846,0.00852973125874996,"27.4.a",-0.156937503038595,-0.0424689179907242
1985,0.75,-0.141620913986117,"27.4.a",0.00852973125874996,-0.156937503038595
1986,0.740740740740741,-0.359163580959042,"27.4.a",-0.141620913986117,0.00852973125874996
1987,0.791666666666667,-0.191339620078603,"27.4.a",-0.359163580959042,-0.141620913986117
